FID,ID_ROTA_CICLOVIARIA,ID_TRECHO,NOME_LOGRAD,ANO_MES_IMPLANTACAO,TIPO_ROTA_CICLOVIARIA,POSICIONAMENTO,EXTENSAO_CICLOVIA,SITUACAO_ROTA,SENTIDO_CIRCULACAO,LARGURA_MIN,TIPO_SEGREGADOR,GEOMETRIA
ROTA_CICLOVIARIA.16576,16576,35488,AVE OTACILIO NEGRAO DE LIMA,AGO2022,CVIA CALCA,DIREITA SC,293.10780793,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE A CALÇADA,"MULTILINESTRING ((607823.641269569 7805417.69084863, 607836.546015893 7805443.1956572, 607847.65316816 7805458.61251914, 607861.448465667 7805472.40971076, 607880.26548235 7805487.09672127, 607905.959533177 7805497.24465568, 607927.959445758 7805501.96369514, 607944.583067859 7805501.25383962, 607966.088229783 7805497.13467807, 607988.483942891 7805488.70639362, 608027.577490698 7805473.03958255, 608071.074319359 7805454.11343492))"
ROTA_CICLOVIARIA.16577,16577,1585,AVE WALDYR SOEIRO EMRICH,JUN/15,CALCADA CP,AMBOS,54.19205762,IMPLANTADA,BIDIRECIONAL,2,SOBRE CALÇADA,"MULTILINESTRING ((601644.345733525 7788889.82504779, 601590.154044811 7788890.02500709))"
ROTA_CICLOVIARIA.16578,16578,6899,AVE WALDYR SOEIRO EMRICH,JUN/15,CICLOVIA,CENTRAL,97.41824092,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE O CANTEIRO,"MULTILINESTRING ((601363.640702001 7788893.96420528, 601266.240789177 7788895.85382065))"
ROTA_CICLOVIARIA.16602,16602,43067,RUA PROFESSOR MORAES,AGO/11,CICLOVIA,ESQUERDO,133.05696484,IMPLANTADA,BIDIRECIONAL,2.4,PRISMA DE CONCRETO,"MULTILINESTRING ((611986.465058102 7795566.91594531, 611972.653268906 7795542.04100853, 611966.947144655 7795528.49376602, 611941.615910977 7795442.2313245))"
ROTA_CICLOVIARIA.16603,16603,21436,AVE AMINTAS JACQUES DE MORAES,2014/02,CICLOFAIXA,CENTRAL,78.44765301,IMPLANTADA,UNIDIRECIONAL,1.5,TACHA,"MULTILINESTRING ((603056.553765185 7799614.36209936, 602989.704705477 7799573.31045532))"
ROTA_CICLOVIARIA.16604,16604,18897,AVE AMINTAS JACQUES DE MORAES,2014/02,CICLOFAIXA,CENTRAL,80.47576184,IMPLANTADA,UNIDIRECIONAL,1.5,TACHA,"MULTILINESTRING ((603037.588323304 7798248.97002097, 603081.134627031 7798182.76349712, 603081.810786263 7798181.73370672))"
ROTA_CICLOVIARIA.16601,16601,43074,RUA PROFESSOR MORAES,AGO/11,CICLOVIA,ESQUERDO,139.34071619,IMPLANTADA,BIDIRECIONAL,2.4,PRISMA DE CONCRETO,"MULTILINESTRING ((611870.709895875 7795171.54642163, 611834.832227345 7795036.90382774))"
ROTA_CICLOVIARIA.16605,16605,57471,AVE TERESA CRISTINA,09/21,CVIA+CFAIX,DIREITA,27.05023792,IMPLANTADA,BIDIRECIONAL+UNIDIRECIONAL,2.5,PASSEIO,"MULTILINESTRING ((605164.488417629 7792804.70818469, 605140.954778009 7792791.37089944))"
ROTA_CICLOVIARIA.16606,16606,29775,AVE TERESA CRISTINA,09/21,CVIA+CFAIX,DIREITA,129.61852067,IMPLANTADA,BIDIRECIONAL+UNIDIRECIONAL,2.5,PASSEIO,"MULTILINESTRING ((604970.340013681 7792699.60957719, 604950.574724903 7792690.14150439, 604925.169278628 7792677.3341113, 604900.481220805 7792668.37593471, 604873.822406196 7792660.45754648, 604848.870481357 7792657.08823229))"
ROTA_CICLOVIARIA.16607,16607,31602,AVE TERESA CRISTINA,09/21,CVIA+CFAIX,DIREITA,187.75819194,IMPLANTADA,BIDIRECIONAL+UNIDIRECIONAL,2.5,PASSEIO,"MULTILINESTRING ((605331.458518778 7792890.58070558, 605226.365233226 7792836.63168674, 605164.488417629 7792804.70818469))"
